Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃)
 00:25:01.457,COM9, 2025-8-18 0:25:1.194, -0.002, 0.003, 1.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.016, -43.000, 228.000, -401.000, 29.73,
 00:25:01.460,COM9, 2025-8-18 0:25:1.196, -0.002, 0.003, 1.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.016, -43.000, 228.000, -401.000, 29.73,
 00:25:01.461,COM9, 2025-8-18 0:25:1.198, -0.002, 0.003, 1.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.016, -42.000, 231.000, -402.000, 29.73,
 00:25:01.463,COM9, 2025-8-18 0:25:1.200, -0.002, 0.003, 1.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.016, -42.000, 231.000, -402.000, 29.73,
 00:25:01.466,COM9, 2025-8-18 0:25:1.202, -0.002, 0.003, 1.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.022, -42.000, 231.000, -402.000, 29.73,
 00:25:01.467,COM9, 2025-8-18 0:25:1.204, -0.002, 0.003, 1.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.022, -42.000, 231.000, -402.000, 29.73,
 00:25:01.469,COM9, 2025-8-18 0:25:1.206, -0.002, 0.003, 1.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.022, -42.000, 231.000, -402.000, 29.73,
 00:25:01.472,COM9, 2025-8-18 0:25:1.208, -0.002, 0.003, 1.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.027, -45.000, 231.000, -400.000, 29.73,
 00:25:01.473,COM9, 2025-8-18 0:25:1.210, -0.002, 0.003, 1.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.022, -45.000, 231.000, -400.000, 29.73,
 00:25:01.475,COM9, 2025-8-18 0:25:1.212, -0.002, 0.004, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.022, -45.000, 231.000, -400.000, 29.73,
 00:25:01.478,COM9, 2025-8-18 0:25:1.214, -0.002, 0.004, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.016, -45.000, 231.000, -400.000, 29.73,
 00:25:01.479,COM9, 2025-8-18 0:25:1.216, -0.002, 0.004, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.016, -45.000, 231.000, -400.000, 29.73,
 00:25:01.481,COM9, 2025-8-18 0:25:1.218, -0.002, 0.004, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.016, -45.000, 227.000, -400.000, 29.73,
 00:25:01.484,COM9, 2025-8-18 0:25:1.220, -0.002, 0.004, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -45.000, 227.000, -400.000, 29.73,
 00:25:01.485,COM9, 2025-8-18 0:25:1.222, -0.002, 0.004, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -45.000, 227.000, -400.000, 29.73,
 00:25:01.487,COM9, 2025-8-18 0:25:1.224, -0.002, 0.004, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, -45.000, 227.000, -400.000, 29.73,
 00:25:01.490,COM9, 2025-8-18 0:25:1.226, -0.002, 0.004, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -45.000, 227.000, -400.000, 29.73,
 00:25:01.491,COM9, 2025-8-18 0:25:1.228, -0.002, 0.004, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -42.000, 232.000, -401.000, 29.73,
 00:25:01.493,COM9, 2025-8-18 0:25:1.230, -0.002, 0.004, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, -42.000, 232.000, -401.000, 29.73,
 00:25:01.496,COM9, 2025-8-18 0:25:1.232, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, -42.000, 232.000, -401.000, 29.74,
 00:25:01.497,COM9, 2025-8-18 0:25:1.234, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -42.000, 232.000, -401.000, 29.74,
 00:25:01.499,COM9, 2025-8-18 0:25:1.236, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -42.000, 232.000, -401.000, 29.74,
 00:25:01.502,COM9, 2025-8-18 0:25:1.238, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -45.000, 233.000, -402.000, 29.74,
 00:25:01.503,COM9, 2025-8-18 0:25:1.240, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -45.000, 233.000, -402.000, 29.74,
 00:25:01.505,COM9, 2025-8-18 0:25:1.242, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -45.000, 233.000, -402.000, 29.74,
 00:25:01.508,COM9, 2025-8-18 0:25:1.244, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -45.000, 233.000, -402.000, 29.74,
 00:25:01.510,COM9, 2025-8-18 0:25:1.246, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, -45.000, 233.000, -402.000, 29.74,
 00:25:01.511,COM9, 2025-8-18 0:25:1.248, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.005, -43.000, 231.000, -397.000, 29.74,
 00:25:01.513,COM9, 2025-8-18 0:25:1.250, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -43.000, 231.000, -397.000, 29.74,
 00:25:01.516,COM9, 2025-8-18 0:25:1.252, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -43.000, 231.000, -397.000, 29.71,
 00:25:01.517,COM9, 2025-8-18 0:25:1.254, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -43.000, 231.000, -397.000, 29.71,
 00:25:01.525,COM9, 2025-8-18 0:25:1.256, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -43.000, 231.000, -397.000, 29.71,
 00:25:01.525,COM9, 2025-8-18 0:25:1.258, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -44.000, 231.000, -402.000, 29.71,
 00:25:01.525,COM9, 2025-8-18 0:25:1.260, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -44.000, 231.000, -402.000, 29.71,
 00:25:01.525,COM9, 2025-8-18 0:25:1.262, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -44.000, 231.000, -402.000, 29.71,
 00:25:01.528,COM9, 2025-8-18 0:25:1.264, -0.002, 0.003, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.011, -44.000, 231.000, -402.000, 29.71,
